subject	tg_level	tg_run	tg_cope	tg_zstat	tg_mask	ug_level	ug_run	ug_cope	ug_zstat	ug_mask
10640	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10640/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10641	L1	1	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/stats/cope10.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/stats/zstat10.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/mask.nii.gz	L1	1	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/stats/cope11.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/stats/zstat11.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10641/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/mask.nii.gz
10642	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10642/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10647	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10647/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10656	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10656/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10661	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10661/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10663	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10663/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10668	L1	1	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/stats/cope10.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/stats/zstat10.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-trust_model-01_type-act_run-1_sm-5.feat/mask.nii.gz	L1	1	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/stats/cope11.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/stats/zstat11.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10668/ses-01/L1_task-ugr_model-3_type-act_run-1_sm-5.feat/mask.nii.gz
10673	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10673/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10674	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10674/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10677	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10677/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10685	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10685/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10700	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10700/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10701	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10701/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10718	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10718/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
10720	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-trust_model-01_type-act_sm-5.gfeat/cope10.feat/mask.nii.gz	L2	both	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/cope1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/stats/zstat1.nii.gz	/ZPOOL/data/projects/rf1-betrayal/derivatives/fsl/sub-10720/ses-01/L2_task-ugr_model-3_type-act_sm-5.gfeat/cope11.feat/mask.nii.gz
